"episode","actor","time_stamp","description"
105,"Vax’ildan","2:27:56","Constitution Save"
105,"Percy","2:46:13","Perception Check"
105,"Scanlan","3:49:30","Investigation Check"
106,"Vax’ildan","0:30:44","Perception Check with Luck"
106,"Scanlan","0:47:50","Performance Check (adv. Not rolled"
106,"Vex’ahlia","2:21:06","Insight Check"
107,"Keyleth","0:43:50","Nature Check"
107,"Vax’ildan","1:24:21","Athletics Check"
107,"Keyleth","1:34:26","Investigation Check"
107,"Vex’ahlia","2:29:12","Fenthras Sneak Attack against Momma"
107,"Vex’ahlia","2:47:16","Fenthras Sharpshooter Attack Bramble Shot against Momma"
107,"Grog","3:18:49","Investigation Check"
107,"Vax’ildan","3:21:13","Stealth Check with Luck"
108,"Percy","0:25:33","Animus Torso Shot"
108,"Vex’ahlia","0:42:57","Fenthras against Smelter Guardian 1 with disadvantage (disregarded"
108,"Vax’ildan","1:23:02","Stealth Check"
108,"Percy","2:35:42","Athletics Check with advantage"
108,"Grog","3:19:49","Bloodaxe Reckless against Forge Guardian"
108,"Percy","3:24:58","Animus Dead Eye against Forge Guardian"
108,"Vax’ildan","3:26:42","Death Save"
109,"Percy","2:57:41","Intelligence Check"
109,"Vex’ahlia","2:59:58","Perception Check"
109,"Grog","3:24:52","Strength Save"
109,"Percy","3:24:58","Strength Save"
110,"Grog","0:32:52","Dexterity Save with advantage"
110,"Vex’ahlia","0:55:35","Dexterity Save"
110,"Grog","1:01:21","Bloodaxe Reckless GWM Retaliation against Elemental 3"
110,"Percy","1:51:07","Perception Check"
110,"Vax’ildan","2:01:23","Thieves’ Tools"
110,"Vax’ildan","2:17:18","Perception Check"
110,"Grog","2:54:02","Adamantine Reckless GWM against Troll 1"
110,"Grog","3:09:46","Adamantine Reckless GWM against Troll 2"
110,"Scanlan","3:18:18","Constitution Save"
111,"Vex’ahlia","0:36:33","Investigation Check"
111,"Keyleth","0:39:07","Nature Check"
111,"Percy","0:46:06","Investigation Check"
111,"Grog","0:50:11","Perception Check"
111,"Pike","1:36:17","Stealth Check with PWaT"
111,"Vax’ildan","1:42:30","Whisper against Zombie Dwarf 4 with advantage"
111,"Grog","1:45:09","Initiative against Zombie Dwarves"
111,"Percy","1:46:52","Sword against Zombie Dwarf 7"
111,"Vex’ahlia","2:57:02","Stealth Check"
112,"Vax’ildan","0:47:08","Stealth Check with PWaT"
112,"Vax’ildan","1:16:05","Dagger of Venom against Shadow Ghast Right"
113,"Vax’ildan","0:52:18","Stealth Check"
113,"Percy","0:53:31","Dexterity Save with Indomitable"
113,"Scanlan","0:58:33","Initiative against Gloomstalker"
113,"Arkhan","2:09:23","Wisdom Save against Charm"
113,"Vax’ildan","2:17:59","Whisper against Delilah"
113,"Grog","2:21:00","Wisdom Save with advantage against Greataxe of the Eclipse"
113,"Grog","2:28:57","Sword of Kas against Delilah with advantage"
113,"Percy","3:45:01","Stealth Check with Pass Without a Trace"
113,"Vax’ildan","4:15:59","Intelligence Check"
113,"Vex’ahlia","4:17:14","Dexterity Check"
113,"Percy","4:25:59","Perception Check"
114,"Percy","0:16:42","Perception Check"
114,"Scanlan","1","Dexterity Save with advantage"
114,"Percy","1:52:57","Animus against Vecna"
114,"Pike","1:58:36","Guiding Bolt (6th"
114,"Vax’ildan","3:26:14","Whisper SA against Vecna with advantage"
114,"Percy","3:35:22","Wisdom Save with advantage"
114,"Grog","3:37:46","SoK Reckless against Vecna"
114,"Vax’ildan","3:56:15","Constitution Save with Luck"
114,"Grog","4:03:40","SoK Reckless against Vecna"
114,"Arkhan","4:17:56","Fane-Eater against Vecna with Divine Smite (1st"
114,"Percy","4:25:58","Animus Deadeye Sharpshooter against Vecna"
114,"Vax’ildan","4:41:21","Flametongue Dagger against Fox!Scanlan"
114,"Scanlan","5:12:50","Counterspell (3rd"
115,"Scanlan","0:50:41","Pistol"
115,"Pike","3:28:00","Perception Check"
115,"Grog","4:08:25","Persuasion Check"
